1 abandon  vt.放弃,遗弃;n.放任,狂热                
2 abnormal  adj.反常的,变态的;                
3 abolish  vt.废止,废除(法律、制度、习俗等)                
4 abortion  n.流产,堕胎,失败,夭折,中止,早产                
5 abrupt  adj.突然的,陡峭的,生硬的                
6 absence  n.不在,缺席,缺乏,没有                
7 absorb  vt.吸收,吸引                
8 abstract  n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化              
9 absurd  adj.荒谬的,可笑的                
10 abundance  n.丰富,充裕,丰富充裕                
11 abundant  adj.丰富的,充裕的,丰富,盛产,富于                
12 abuse  n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂                
13 academic  adj.学院的,理论的                
14 accelerate  v.加速,促进                
15 acceptance  n.接受,承诺,容忍,赞同,相信                
16 access  n.通路,访问,入门;vt.存取,接近                
17 accessory  n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的                
18 accident  n.意外事件,事故                
19 accommodate  vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应                
20 accommodation  n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合            
21 accomplish  vt.完成,达到,实现                
22 accord  n.一致,符合,调和,协定;vt.一致,给与;vi.符合                
23 accordance  n.一致,和谐                
24 account  n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为                
25 accumulate  v.积聚,堆积                
26 accurate  adj.正确的,精确的                
27 accuse  vt.控告,谴责,非难                
28 accustomed  adj.通常的,习惯的,按照风俗习惯的                
29 achievement  n.成就,功绩                
30 acid  n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的                
31 acknowledge  vt.承认,答谢,报偿                
32 acquaint  vt.使熟知,通知                
33 acquaintance  n.相识,熟人                
34 acquire  vt.获得,学到                
35 activate  vt.刺激,使活动;vi.有活力                
36 acute  adj.敏锐的,[医]急性的,剧烈                
37 adapt  vt.使适应,改编                
38 addict  vt.使沉溺,使上瘾;n.入迷的人,有瘾的人                
39 addition  n.加,加起来,增加物,增加,加法                
40 additional  adj.另外的,附加的,额外的                
41 adequate  adj.适当的,足够的                
42 adhere  vi.粘附,胶着,坚持;v.坚持                
43 adjacent  adj.邻近的,接近的                
44 adjoin  v.邻接,毗连                
45 adjust  vt.调整,调节,校准,使适合                
46 administratio  n.管理,经营,行政部门                
47 admit  v.容许,承认,接纳                
48 adolescent  adj.青春期的,青春的;n.青少年                
49 adopt  vt.采用,收养                
50 adore  v.崇拜,爱慕,(口语)喜爱                
51 advantage  n.优势,有利条件,利益                
52 adverse  adj.不利的,敌对的,相反的                
53 advocate  n.提倡者,鼓吹者;vt.提倡,鼓吹                
54 aerial  adj.航空的,生活在空气中的,空气的,高耸的;n.天线                
55 aesthetic  adj.美学的,审美的,有审美感的                
56 affection  n.友爱,爱情,影响,疾病,倾向                
57 affiliate  v.(使...)加入,接受为会员                
58 affirm  v.断言,确认,肯定                
59 afflict  vt.使痛苦,折磨                
60 aggregate  n.合计,总计,集合体;adj.合计的,集合的,聚合的;v.聚集,集合,合计              
61 aggressive  adj.好斗的,敢作敢为的,有闯劲的,侵略性的                
62 agony  n.苦恼,极大的痛苦                
63 agreeable  adj.使人愉快的,惬意的,适合的                
64 aid  n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助                
65 air-condition  n.空调，空调系统,空调机                
66 aisle  n.走廊,过道                
67 alarm  n.警报,惊慌,警告器;vt.恐吓,警告                
68 album  n.集邮本,照相簿,签名纪念册                
69 alcohol  n.酒精,酒                
70 alert  adj.提防的,警惕的;n.警惕,警报                
71 alien  n.外侨;adj.外国的,相异的,不同,背道而驰                
72 alienate  v.疏远                
73 allege  vt.宣称,断言                
74 alleviate  vt.使(痛苦等)易于忍受,减轻                
75 alliance  n.联盟,联合                
76 allocate  vt.分派,分配                
77 alloy  n.合金;vt.使成合金,减低成色                
78 alter  v.改变                
79 alternate  adj.交替的,轮流的,预备的;v.交替,轮流,改变                
80 alternative  n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的                
81 ambiguous  adj.暧昧的,不明确的                
82 ambition  n.野心,雄心                
83 ambitious  adj.有雄心的,野心勃勃的                
84 amend  v.修正,改进,改正                
85 ammunition  n.军火,弹药                
86 amplify  vt.放大,增强;v.扩大                
87 analogy  n.类似,类推                
88 analyse  n.&v.分析,分解                
89 analysis  n.分析,分解                
90 ancestor  n.祖先,祖宗                
91 ancient  adj.远古的,旧的                
92 annoy  vt.使苦恼,骚扰                
93 annual  n.一年生植物,年刊,年鉴;adj.一年一次的,每年的,一年生的                
94 anonymous  adj.匿名的                
95 anticipate  vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料                
96 anxiety  n.忧虑,焦急,渴望,热望                
97 apartment  n.<美>公寓住宅,单元住宅,房间                
98 apology  n.(为某种思想,宗教,哲学等)辩解,道歉                
99 apparatus  n.器械,设备,仪器                
100 appeal  n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉                
101 appearance  n.出现,露面,外貌,外观                
102 appease  vt.平息,安抚,缓和,使满足                
103 appendix  n.附录,附属品,[解]阑尾                
104 applaud  v.拍手喝彩,称赞,赞同                
105 appliance  n.用具,器具                
106 application  n.请求,申请,申请表,应用,运用,施用,敷用,应用,应用程序,应用软件              
107 apply  vt.申请,应用;vi.申请,适用                
108 appraisal  n.评价,估价(尤指估价财产,以便征税),鉴定                
109 approach  n.接近,逼近,走进,方法,步骤,途径,通路;vt.接近,动手处理;vi.靠近              
110 appropriate  adj.适当的                
111 approve  vi.赞成,满意;vt.批准,通过;v.批准                
112 apt  adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是              
113 arbitrary  adj.任意的,武断的,独裁的,专断的                
114 arc  n.弧,弓形,拱                
115 arena  n.竞技场,舞台                
116 argue  vi.争论,辩论;vt.说服                
117 armor  n.装甲                
118 arouse  vt.唤醒,唤起,鼓励,引起;vi.睡醒                
119 arrange  v.安排,排列,协商                
120 arrangement  n.排列,安排                
121 array  n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列                
122 arrest  vt.逮捕,拘留,吸引;n.逮捕,拘留                
123 arrogant  adj.傲慢的,自大的                
124 artery  n.动脉,要道                
125 articulate  adj.有关节的,发音清晰的;vt.用关节连接,接合,清晰明白地说                
126 artificial  adj.人造的,假的,非原产地的                
127 artillery  n.炮的总称,炮兵的总称                
128 ascend  v.攀登,上升                
129 ascertain  vt.确定,探知                
130 ascribe  vt.归因于,归咎于                
131 aspect  n.样子,外表,面貌,(问题等的)方面                
132 aspiration  n.热望,渴望                
133 assassination  n.暗杀                
134 assault  n.攻击,袭击;v.袭击                
135 assemble  vt.集合,聚集,装配;vi.集合                
136 assert  v.断言,声称                
137 assess  vt.估定,评定                
138 asset  n.资产,有用的东西                
139 assign  vt.分配,指派;v.赋值;[计]将驱动器符重定向至第二个驱动器符                
140 assignment  n.分配,委派,任务,(课外)作业                
141 assimilate  v.吸收                
142 assistance  n.协助,援助,补助,<英>国家补助                
143 associate  vt.使发生联系,使联合;vi.交往,结交;n.合作人,同事;adj.副的                
144 association  n.协会,联合,结交,联想                
145 assume  vt.假定,设想,采取,呈现                
146 assumption  n.假定,设想,担任,承当,假装,作态                
147 assurance  n.确信,断言,保证,担保                
148 assure  vt.断然地说,确告,保证,担保                
149 athlete  n.运动员,运动选手                
150 atlas  n.地图,地图集                
151 atmosphere  n.大气,空气,气氛                
152 attach  vt.缚上,系上,贴上;v.配属,隶属于                
153 attack  n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭;vt.攻击,抨击,动手处理(某事);vi.攻击            
154 attain  vt.达到,获得;v.达到                
155 attempt  n.努力,尝试,企图;vt.尝试,企图                
156 attendant  n.服务员                
157 attitude  n.姿势,态度,看法,意见                
158 attract  vt.吸引;vi.有吸引力,引起注意                
159 attractive  adj.吸引人的,有魅力的                
160 attribute  n.属性,品质,特征,加于,归结于                
161 auction  n.拍卖;vt.拍卖                
162 audience  n.听众,观众,接见,拜见                
163 authentic  adj.可信的                
164 author  n.作家,创造者                
165 authoritative  adj.权威的,有权威的,命令的                
166 authority  n.权威,威信,权威人士,权力,职权,典据,著作权威                
167 authorize  v.批准                
168 autonomous  adj.自治的                
169 autonomy  n.自治                
170 avail  vi.有益于,有帮助,有用,有利;vt.有利于;n.效用,利益                
171 available  adj.可用到的,可利用的,有用的,有空的,接受探访的                
172 avert  v.转移                
173 aviation  n.飞行,航空,航空学,航空术                
174 avoid  vt.避免,消除                
175 award  n.奖,奖品;vt.授予,判给                
176 aware  adj.知道的,明白的,意识到的                
177 awkward  adj.难使用的,笨拙的                
178 axis  n.轴                
179 background  n.背景,后台,不重要或不引人注目的地方或位置                
180 bacteria  n.细菌                
181 ballet  n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲                
182 bamboo  n.竹子                
183 band  n.带子,镶边,波段,队,乐队;v.联合,结合                
184 bandage  n.绷带                
185 bang  n.重击,突然巨响;v.发巨响,重击                
186 banquet  n.宴会                
187 barely  adv.仅仅,刚刚,几乎不能                
188 bargain  n.契约,合同,成交商品,便宜货;v.议价                
189 barren  adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的;n.荒地              
190 barricade  v.设路障;n.路障                
191 barrier  n.(阻碍通道的)障碍物,栅栏,屏障                
192 basis  n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理                
193 batch  n.(面包等)一炉,一批                
194 batter  n.击球手;v.打坏,猛击                
195 beam  n.梁,桁条,(光线的)束,柱,电波,横梁;v.播送                
196 beforehand  adv.预先                
197 behave  vi.举动,举止,运转;v.行为表现                
198 behavior  n.举止,行为                
199 belly  n.腹部,胃;vi.涨满                
200 beneficial  adj.有益的,受益的,[法律]有使用权的;adj.有益的,得利的,[律]有使用权的              
201 benefit  n.利益,好处;vt.有益于,有助于;vi.受益                
202 betray  vt.出卖,背叛,泄露(秘密),露出...迹象                
203 bewilder  vt.使迷惑,使不知所措,使昏乱                
204 beyond  prep.在(到)...较远的一边,超过,那一边;adv.在远处;n.远处                
205 bibliography  n.(有关一个题目或一个人的)书目,参考书目                
206 biography  n.传记                
207 bizarre  adj.奇异的(指态度,容貌,款式等)                
208 blank  adj.空白的,空着的,失色的,没有表情的;n.空白,<美>表格                
209 blaze  n.火焰,光辉,情感爆发;vi.燃烧,照耀,激发;vt.在树皮上刻路标,公开宣布              
210 bleed  v.使出血,放血                
211 blink  v.眨眼,闪亮,无视                
212 blossom  n.花(尤指结果实者),花开的状态,兴旺期;vi.开花,兴旺,发展                
213 blunder  v.跌跌撞撞地走,犯大错,做错;n.大错,失误                
214 blunt  adj.钝的,生硬的                
215 blur  v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污;n.污点                
216 blush  v.脸红,羞愧,呈现红色,使成红色;n.脸红,红色,红光                
217 bonus  n.奖金,红利                
218 booklet  n.小册子                
219 boom  n.繁荣,隆隆声;v.发隆隆声,兴隆,大事宣传                
220 booth  n.货摊,售货亭,棚                
221 border  n.边界,国界,边,边沿,边境;vt.与...接壤,接近;v.接壤                
222 boring  n.钻(孔);adj.令人厌烦的                
