1 galaxy  n.星系,银河,一群显赫的人,一系列光彩夺目的东西                
2 gamble  n.冒险;v.赌博,投机,孤注一掷                
3 garbage  n.垃圾,废物                
4 garment  n.衣服,外衣,外表                
5 gasp  vi.喘息,气喘;vt.气吁吁地说                
6 gauge  n.标准尺,规格,量规,量表;v.测量                
7 gaze  v.盯,凝视;n.凝视                
8 gear  n.齿轮,传动装置;v.调整,(使)适合,换档                
9 generalize  vt.归纳,概括,推广,普及                
10 generate  vt.产生,发生                
11 generous  adj.慷慨的,大方的,有雅量的                
12 genetic  adj.遗传的,起源的                
13 genuine  adj.真实的,真正的,诚恳的                
14 geology  n.地质学,地质概况                
15 gigantic  adj.巨人般的,巨大的                
16 giggle  v.哈哈地笑;n.傻笑                
17 given  adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词                
18 glamour  n.[亦作glamor]魔力,魅力;v.迷惑                
19 glance  vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看                
20 gland  n.[解剖]腺,[机械]密封管                
21 glare  n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面;v.闪耀                
22 gleam  n.微弱的闪光,一丝光线,瞬息的一现;vi.闪烁,隐约地闪现;vt.使发微光,使闪烁              
23 glide  v.滑行,悄悄地走,(时间)消逝,滑翔;n.滑行,滑翔,滑移,滑音                
24 glitter  vi.闪闪发光,闪烁,闪光;n.闪光                
25 gloom  n.阴暗,阴沉;v.(使)变阴暗,优伤地说,繁荣                
26 gloomy  adj.黑暗的,阴沉的,令人沮丧的,阴郁的                
27 glow  vi.发光,发热                
28 gorgeous  adj.华丽的,灿烂的                
29 gossip  n.闲话,闲谈                
30 gown  n.长袍,法衣,礼服,睡袍                
31 gracious  adj.亲切的，和谐的；优美的；雅致的，雍容华贵的 int.（表示惊讶）天哪！              
32 graduate  n.(大学)毕业生,研究生;v.(使)(大学)毕业                
33 grain  n.谷物,谷类,谷粒,细粒,颗粒,粮食                
34 grant  vt.同意,准予,承认(某事为真)～                
35 graphic  adj.绘画似的,图解的                
36 grave  n.墓穴,坟墓;adj.严重的,(颜色)黯淡的,(声音)低沉的;v.雕刻,铭记              
37 graze  v.放牧,吃草,擦伤,擦过;n.放牧,牧草,轻擦,擦破处                
38 grease  n.油脂,贿赂;vt.涂脂于,<俗>贿赂                
39 grief  n.悲痛,伤心事,不幸,忧伤                
40 grieve  v.(使)悲痛,(使)伤心,忧伤                
41 grim  adj.严酷的                
42 grin  n.露齿笑,裂口笑;v.露齿而笑                
43 grip  vt.紧握,紧夹;n.掌握,控制,把手;v.抓住                
44 groan  n.呻吟,叹息;vi.呻吟,受折磨,受压迫发出嘎吱声;vt.呻吟着说                
45 groove  n.(唱片等的)凹槽,惯例,最佳状态;vt.开槽于                
46 grope  v.n.摸索                
47 gross  adj.总的,毛重的;n.总额                
48 guarantee  n.保证,保证书,担保,抵押品;vt.保证,担保                
49 guardian  n.护卫者,保护人,监护人;adj.守护的                
50 hamper  v.妨碍,牵制                
51 handbook  n.手册,便览                
52 handicap  n.障碍,阻碍,障碍赛跑;v.妨碍,使不利,阻碍                
53 hardy  adj.难的,艰苦的，勇敢的;adv.努力地,辛苦地,坚硬地                
54 harmony  n.协调,融洽                
55 hasty  adj.匆忙的,草率的                
56 hatch  n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口;vt.孵,孵出,策划,图谋;vi.孵化              
57 hatred  n.憎恨,乱意,仇恨                
58 haul  n.用力拖,拖拉,捕获物,努力得到结果,一网捕获鱼量,拖运距离;vi.拖,拉,改变方向,改变主意;vt.拖拉,拖运          
59 haunt  v.神鬼出没                
60 hawk  n.鹰,掠夺他人的人,鹰派成员;vi.放鹰,像鹰一般地袭击,清嗓,咳嗽;vt.捕捉,咳出,兜售,(沿街)叫卖,散播          
61 hazard  n.冒险,危险,冒险的事;vt.冒...的危险,赌运气,使遭危险                
62 heap  n.堆,大量,许多;vt.堆,堆起;v.堆积                
63 heave  v.举起;n.举起                
64 heel  n.脚后跟,踵,跟部                
65 heighten  v.提高,升高                
66 heir  n.继承人,后嗣                
67 hemisphere  n.半球                
68 henceforth  adv.自此以后,今后                
69 herb  n.药草,香草                
70 heritage  n.遗产,继承权,传统                
71 hesitate  v.犹豫,踌躇,不愿                
72 hierarchy  n.层次,层级                
73 highlight  n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出              
74 hike  v.远足,飞起,步行;n.远足,增加                
75 hinder  adj.后面的;v.阻碍,打扰                
76 hinge  n.（门、盖等的）铰链,枢纽,关键;vt.装铰链;v.装以绞链,依...而转移              
77 historian  n.历史学家,史家                
78 hitherto  adv.迄今,至今                
79 hoist  n.提升间,升起                
80 homogeneous  adj.同类的,相似的,均一的,均匀的                
