1 qualitative  adj.性质上的,定性的                
2 quantify  vt.确定数量;v.量化                
3 quantitative  adj.数量的,定量的                
4 quart  n.夸脱(容量单位)                
5 quarterly  n.季刊;adj.一年四次的,每季的;adv.每季地                
6 quartz  n.石英                
7 queer  n.同性恋者;adj.奇怪的,可疑的，不舒服的;vt.搞糟;                
8 quench  vt.结束,熄灭，淬火;vi.熄灭,平息                
9 quest  n.寻求                
10 questionnaire  n.调查表,问卷                
11 quiver  n.震动,颤抖,箭袋,箭袋中的箭;vi.颤抖,振动,射中;vt.使颤动;adj.敏捷的              
12 quota  n.配额,限额                
13 racial  adj.人种的,种族的,种族间的                
14 racket  n.球拍,喧闹纷乱;v.过着花天酒地的生活                
15 radiant  adj.发光的,辐射的,容光焕发的                
16 radiate  vt.放射,辐射,传播,广播;vi.发光,辐射,流露;adj.有射线的,辐射状的              
17 radical  adj.根本的,基本的,激进的;n.激进分子                
18 radioactive  adj.放射性的,有辐射能的                
19 radius  n.半径,范围,辐射光线,有效航程,范围,界限                
20 random  n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地                
21 rank  n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩          
22 rap  n.叩击,轻拍,轻敲,斥责;vt.敲,拍,厉声说出,斥责,使着迷;vi.敲击,交谈;abbr.[军]RocketAssistedProjectile,火箭助推炮弹        
23 rape  n.掠夺,强奸,葡萄渣,油菜;vt.掠夺,强奸                
24 rarely  adv.很少地,罕有地                
25 rash  adj.轻率的,匆忙的,卤莽的;n.[医]皮疹                
26 rating  n.等级级别(尤指军阶),额定,责骂,申斥                
27 rational  adj.理性的,合理的,推理的;n.[数]有理数                
28 reaction  n.反应,反作用,反动(力)                
29 readily  adv.乐意地,欣然,容易地                
30 realistic  adj.现实(主义)的                
31 reap  v.收割,收获                
32 reassure  vt.使...安心,再保证,使...恢复信心,打消...的疑虑                
33 rebel  n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱            
34 rebellion  n.谋反,叛乱,反抗,不服从                
35 recall  vt.回忆,回想,记起,取消;n.召回                
36 recede  v.后退                
37 receipt  n.收条,收据,收到;v.收到                
38 reception  n.接待,招待会,接收                
39 recession  n.撤回,退回,退后,工商业之衰退,不景气                
40 recipe  n.处方                
41 recipient  adj.容易接受的,感受性强的;n.容纳者,容器                
42 reciprocal  adj.互惠的,相应的,倒数的,彼此相反的;n.倒数,互相起作用的事物                
43 recite  v.背诵,朗读,叙述,[律]书面陈述(事实)                
44 reckless  adj.不计后果的                
45 reckon  vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想                
46 reclaim  vt.要求归还,收回,开垦                
47 recognition  n.赞誉,承认,重视,公认,赏识,识别                
48 recognize  vt.认可,承认,公认,赏识;vi.具结                
49 reconcile  vt.使和解,使和谐,使顺从                
50 reconciliatio  n.和解,调和,顺从                
51 recover  vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件            
52 recovery  n.恢复,痊愈,防御                
53 recreation  n.消遣,娱乐                
54 recruit  n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原                
55 rectangular  adj.矩形的,成直角的                
56 rectify  vt.矫正,调整,[化]精馏                
57 recur  vi.复发,重现,再来                
58 recycle  v.使再循环,反复应用;n.再循环,再生,重复利用                
59 redundant  adj.多余的                
60 reel  n.(棉纱,电线的)卷轴,(磁带等的)一盘,旋转,蹒跚;vt.卷...于轴上,使旋转;vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃          
61 referee  n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判                
62 reference  n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)                
63 reflect  v.反射,反映,表现,反省,细想                
64 reform  n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组              
65 refrain  n.重复,叠句,[乐]副歌;vi.节制,避免,制止                
66 refresh  v.(使)精神振作,(使)精力恢复,更新                
67 refreshment  n.点心,饮料,精力恢复,爽快                
68 refuge  n.庇护,避难,避难所                
69 refund  v.退还,偿还;n.归还,偿还额,退款                
70 refusal  n.拒绝,推却,优先取舍权,优先取舍的机会                
71 refute  vt.驳倒,反驳                
72 regime  n.政体,政权,政权制度                
73 regiment  n大量，v严格的管                
74 region  n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层              
75 register  n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号            
76 regulation  n.规则,规章,调节,校准                
77 rehearsal  n.排演,演习,预演,试演                
78 reign  vi.统治,支配,盛行,占优势;n.统治,统治时期,支配                
79 rein  n.缰绳,统治,支配;vt.以缰绳控制,统治,驾驭;vi.勒住马,止住                
80 reinforce  vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物              
81 reject  n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃            
82 rejoice  v.(使)欣喜,(使)高兴,喜悦                
83 relative  n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的                
84 relay  n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播            
85 release  n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布            
86 relevant  adj.有关的,相应的                
87 reliable  adj.可靠的,可信赖的                
88 reliance  n.信任,信心,依靠,依靠的人或物                
89 relief  n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌                
90 relieve  vt.减轻,解除,援救,救济,换班                
91 religion  n.宗教,信仰                
92 religious  adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士              
93 relish  n.意味                
94 reluctant  adj.不顾的,勉强的,难得到的,难处理的                
95 rely  v.依赖,依靠,信赖,信任,依赖于                
96 remain  vi.保持,逗留,剩余,残存                
97 remainder  n.残余,剩余物,其他的人,[数]余数;v.廉价出售;adj.剩余的,出售剩书的              
98 remedy  n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补                
99 remnant  n.残余,剩余,零料,残迹;adj.剩余的,残留的                
100 remote  adj.遥远的,偏僻的,细微的                
101 renaissance  n.复兴,复活,新生,文艺复兴,文艺复兴时期                
102 render  vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底              
103 repay  v.偿还,报答,报复                
104 repel  vt.击退,抵制,使厌恶,使不愉快                
105 repertoire  n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能            
106 represent  vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议                
107 repression  n.镇压,抑制,抑压                
108 reproach  v.责备                
109 reputation  n.名誉,名声                
110 resemblance  n.类同之处                
111 resent  v.愤恨,怨恨                
112 reservation  n.保留,(旅馆房间等)预定,预约                
113 reserve  n.储备(物),储藏量,预备队;vt.储备,保存,保留,预定,预约                
114 reside  vi.居住                
115 resident  n.居民;adj.居住的,常驻的                
116 residential  adj.住宅的,与居住有关的                
117 resign  n.辞去(职务);v.辞去,辞职                
118 resistant  adj.抵抗的,有抵抗力的                
119 resolve  n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决                
120 resort  vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地                
121 respective  adj.分别的,各自的                
122 respond  v.回答,响应,作出反应;vi.有反应                
123 response  n.回答,响应,反应                
124 responsible  adj.有责任的,可靠的,可依赖的,负责的                
125 restore  vt.恢复,使回复,归还,交还,修复,重建                
126 restrain  vt.抑制,制止                
127 restraint  n.抑制,制止,克制                
128 restrict  vt.限制,约束,限定                
129 resultant  adj.作为结果而发生的,合成的                
130 resume  n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复                
131 retain  vt.保持,保留                
132 retention  保持力                
133 retort  v.反驳,反击,回报;n.曲颈甑,曲颈瓶,蒸器                
134 retrieve  v.重新得到;n.找回                
135 retrospect  n.回顾                
136 reunion  n.团圆,重聚                
137 reveal  vt.展现,显示,揭示,暴露                
138 revelation  n.显示,揭露,被揭露的事,新发现,启示,揭示                
139 revenge  n.报仇,复仇;vt.替...报仇,复仇                
140 revenue  n.收入,国家的收入,税收                
141 reverse  n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转                
142 revive  v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想                
143 revolutionary  adj.革命的                
144 revolve  v.(使)旋转,考虑,循环出现                
145 reward  n.报酬,奖金;vt.酬劳,奖赏                
146 rhythm  n.节奏,韵律                
147 ridiculous  adj.荒谬的,可笑的                
148 rig  n.索具装备,钻探设备,钻探平台,钻塔;v.装上索具,配备,装配                
149 rigorous  adj.严格的,严厉的,严酷的,严峻的                
150 rim  n.边,轮缘,蓝框;vt.镶边,为...装边,沿...边缘滚动;vi.形成边状                
151 rip  v.撕,剥,劈,锯,裂开,撕裂;n.裂口,裂缝                
152 ritual  n.典礼,(宗教)仪式,礼节;adj.典礼的,(宗教)仪式的                
153 rival  n.竞争者,对手;v.竞争,对抗,相匹敌                
154 rivalry  n.竞争,竞赛,敌对,敌对状态                
155 robust  adj.精力充沛的                
156 romance  n.冒险故事,浪漫史,传奇文学,风流韵事,虚构;vi.写传奇,渲染,虚构                
157 rot  v.(使)腐烂,(使)腐败;n.腐烂,腐败                
158 rotary  adj.旋转的                
159 routine  n.例行公事,常规,日常事务,程序                
160 royalty  n.皇室,王权                
161 ruin  v.(使)破产,(使)堕落,毁灭;n.毁灭,崩溃,废墟,遗迹                
162 rupture  v.破裂,裂开,断绝(关系等),割裂;n.破裂,决裂,敌对,割裂                
163 sacred  adj.神的,宗教的,庄严的,神圣的                
164 sacrifice  n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉                
165 safeguard  vt.维护,保护,捍卫;n.安全装置,安全措施                
166 sake  n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒                
167 salute  n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼;v.行礼致敬,敬礼              
168 salvation  n.拯救,救助                
169 sample  n.标本,样品,例子;vt.取样,采样,抽取...的样品,试验的一部分,尝试              
170 sanction  n.&v.批准,同意,支持,制裁,认可                
171 saturate  v.使饱和,浸透,使充满                
172 savage  adj.野蛮的,未开化的,凶猛的,残忍的;vt.用暴力对付;n.原始的人,粗鲁的人              
173 scale  n.刻度,衡量,比例,数值范围,比例尺,天平,等级;vt.依比例决定,攀登,测量;vi.剥落,生水垢,重,攀登,衡量          
174 scan  v.细看,审视,浏览,扫描;n.扫描                
175 scandal  n.丑行,丑闻,诽谤,耻辱,流言蜚语                
176 scar  n.伤痕,疤痕;v.结疤,使留下伤痕,创伤                
177 scatter  v.分散,散开,撒开,驱散                
178 scent  n.气味,香味,香水,线索,嗅觉,臭迹;vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味;vi.嗅猎,发出气味            
179 schedule  n.时间表,进度表;v.确定时间                
180 scheme  n.安排,配置,计划,阴谋,方案,图解,摘要;v.计划,设计,图谋,策划                
181 scope  n.(活动)范围,机会,余地                
182 score  n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分          
183 scorn  n.轻蔑,嘲笑,被叱责的人;vt.轻蔑,不屑做                
184 scramble  n.爬行,攀缘,抢夺,混乱;vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙;vt.攀登,搅乱,使混杂              
185 scrap  n.小片,废料,剪下来的图片,文章,残余物,废料,打架;vt.扔弃,敲碎,拆毁;vi.互相殴打;adj.零碎的,废弃的          
186 scrape  n.刮,擦,擦痕,刮擦声,困境;vi.刮掉,擦掉,刮出刺耳声;vt.刮,擦,擦伤,挖成              
187 scratch  n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的          
188 screw  n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼;vt.调节,旋,加强,压榨,强迫,鼓舞;vi.转动,旋,拧            
189 scrub  v.洗擦,使(气)净化;n.洗擦,擦洗者,矮树,灌木,丛林地,矮小人(或动物);adj.次等的,矮小的,临时凑合的          
190 scrutiny  n.详细审查                
191 sculpture  n.雕刻,雕刻品,雕塑,雕塑品,[地理]刻蚀;v.雕刻,雕塑,刻蚀                
192 seam  n.接缝,线缝,缝合线,衔接口,伤疤,层;vt.缝合,接合,焊合,使留下伤痕;vi.裂开,发生裂痕            
193 security  n.安全                
194 seemingly  adv.表面上地                
195 segment  n.段,节,片断;v.分割                
196 segregate  v.隔离                
197 semester  n.学期                
198 senator  n.参议员,(大学的)评议员,(古罗马的)元老院议员                
199 sensation  n.感觉,感情,感动,耸人听闻的                
200 sensible  adj.有感觉的,明智的,有判断力的                
201 sensitive  adj.敏感的,灵敏的,感光的                
202 sentiment  n.情操,情感,情绪,观点,多愁善感,感情                
203 sequence  n.次序,顺序,序列                
204 sergeant  n.警官,军士                
205 serial  adj.连续的                
206 series  n.连续,系列,丛书,级数                
207 setback  n.顿挫,挫折,退步,逆流,(疾病的)复发                
208 settle  n.有背的长凳;vt.安放,使定居,安排,解决,决定,整理,支付,使平静;vi.安家,定居,停留,下陷,沉淀,决定,澄清          
209 settlement  n.沉降,解决,结算,殖民,殖民地                
210 severe  adj.严厉的,严格的,剧烈的,严重的,严峻的                
211 shabby  adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的                
212 shaft  n.轴,杆状物                
213 shark  n.[鱼]鲨鱼,骗子<俚>内行,专家;v.敲诈                
214 shatter  n.粉碎,碎片,落花(叶,粒等);vt.打碎,使散开,粉碎,破坏;vi.粉碎,损坏,落叶              
